id,source_domain,end_domain
198,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Emilio_Segr%C3%A8
199,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Edoardo_Amaldi
200,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Franco_Rasetti
201,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/University_of_Cagliari
202,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Sardinia
203,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Giovanni_Giorgi
204,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Sapienza_University_of_Rome
205,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Orso_Mario_Corbino
206,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Benito_Mussolini
207,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Aldo_Pontremoli
208,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Edoardo_Amaldi
209,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Bruno_Pontecorvo
210,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Ettore_Majorana
211,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Emilio_Segr%C3%A8
212,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Via_Panisperna_boys
213,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Laura_Capon
214,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Royal_Academy_of_Italy
215,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fascist_Party
216,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Italian_Racial_Laws
217,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/National_Socialism
218,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Hans_Bethe
219,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/German_language
220,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Beta_decay
221,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Electron
222,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Atomic_nucleus
223,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Conservation_of_energy
224,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Neutrino
225,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi%27s_interaction
226,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Weak_interaction
227,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fundamental_forces_of_nature
228,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Nature_(journal)
229,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie
230,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Joliot
231,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Alpha_particle
232,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Radioactivity
233,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Gian-Carlo_Wick
234,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Neutron
235,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/James_Chadwick
236,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Polonium
237,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Beryllium
238,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Neutron_source
239,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Particle_accelerator
240,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/File:RasettiFermiSegre.JPG
241,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/File:RasettiFermiSegre.JPG
242,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Franco_Rasetti
243,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Emilio_Segr%C3%A8
244,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Academic_dress
245,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Radon
246,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Curie
247,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/w/index.php?title=Giulio_Cesare_Trabacchi&action=edit&redlink=1
248,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Half-life
249,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Gamma_ray
250,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Platinum
251,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Atomic_number
252,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Aluminium
253,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Sodium
254,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Magnesium
